,index,x,y
0,0.0,2.6017058,28.310337
1,1.0,10.368959,34.017273
2,2.0,11.625181,-5.732035
3,3.0,23.132694,24.187487
4,4.0,7.7841587,-15.41016
5,5.0,-15.560016,15.59888
6,6.0,-16.222528,14.707562
7,7.0,1.732339,3.9398992
8,8.0,15.380932,19.282867
9,9.0,-14.376328,2.9325864
10,10.0,-15.658986,2.582099
11,11.0,-5.941118,33.71118
12,12.0,-26.708693,-38.67181
13,13.0,-9.798412,6.157534
14,14.0,-21.47653,-13.38775
15,15.0,-19.69527,5.0854874
16,16.0,-27.103691,-39.514343
17,17.0,-9.94792,5.437356
18,18.0,-3.6142747,3.5992851
19,19.0,11.675604,-19.409376
20,20.0,15.849276,-7.5429344
21,21.0,-4.7300134,19.792229
22,22.0,13.091888,-4.8640327
23,23.0,-17.957191,7.007728
24,24.0,5.4232764,-7.129612
25,25.0,2.6964812,17.207077
26,26.0,-7.225048,30.868801
27,27.0,-5.5384974,30.729263
28,28.0,11.275646,-3.2097993
29,29.0,8.184019,35.14864
30,30.0,-19.86224,-21.987951
31,31.0,-10.402211,-18.550127
32,32.0,-10.634666,4.355413
33,33.0,-19.674232,3.7655442
34,34.0,-17.41182,6.8605547
35,35.0,28.21797,-7.1803713
36,36.0,24.48895,24.858217
37,37.0,7.3908215,-9.326088
38,38.0,-12.197722,-5.209349
39,39.0,10.700666,28.245749
40,40.0,1.8529627,19.817738
41,41.0,9.721448,-2.2757788
42,42.0,1.0881481,16.318737
43,43.0,12.513248,9.183242
44,44.0,3.7407103,29.52394
45,45.0,13.0294075,33.389713
46,46.0,4.3929963,-4.5061417
47,47.0,-7.998846,-21.000372
48,48.0,18.069618,-3.1983862
49,49.0,19.740185,16.19236
50,50.0,-12.208501,10.9222355
51,51.0,-11.287178,-17.883665
52,52.0,10.287356,-35.816322
53,53.0,21.76623,3.4572365
54,54.0,7.7436066,-11.95025
55,55.0,-0.090436146,6.2032666
56,56.0,1.6842437,-3.7573004
57,57.0,2.5058553,3.4536324
58,58.0,14.156735,-16.36609
59,59.0,1.5882456,-2.7946625
60,60.0,4.4300966,-6.181212
61,61.0,-13.62584,-22.950205
62,62.0,13.931966,-0.68496716
63,63.0,14.056168,-19.79343
64,64.0,20.198845,0.061500285
65,65.0,-15.119081,-24.958525
66,66.0,12.581093,31.65432
67,67.0,17.514896,-2.5375645
68,68.0,17.792824,16.79701
69,69.0,-5.059187,32.16199
70,70.0,22.569075,4.8386636
71,71.0,-6.0044765,12.801553
72,72.0,-13.984533,-26.163607
73,73.0,-5.6530924,31.78056
74,74.0,5.505012,-3.924056
75,75.0,-11.60648,-6.606409
76,76.0,-28.49569,-37.473125
77,77.0,19.623163,18.758417
78,78.0,-7.6212387,9.1284275
79,79.0,-6.8951097,13.658913
